drive,xmission,fuelType,classId,id,make,year,hp,torque
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010,195,260
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,2010,195,260
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2010,302,305
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z NISMO,Nissan,2011,350,276
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan 370Z NISMO,Nissan,2010,350,276
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Nissan 370Z NISMO,Nissan,2009,350,276
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Volvo C30 T5,Volvo,2011,227,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo C30 T5 AT,Volvo,2011,227,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo C30 T5 AT,Volvo,2010,227,236
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Volvo C30 T5,Volvo,2010,227,236
Rear-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Bentley Brooklands,Bentley,2010,530,774
All-wheel drive,6 Speed Automatic,E85,Automatic transmission,2012 Bentley Continental Supersports Convertible,Bentley,2012,621,590
All-wheel drive,6 Speed Automatic Select Shift,E85,Automatic transmission,2012 Bentley Continental Supersports Coupe,Bentley,2012,621,590
All-wheel drive,6 Speed Automatic,E85,Automatic transmission,2011 Bentley Continental Supersports Convertible,Bentley,2011,621,590
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Bentley Continental Supersports,Bentley,2010,621,590
All-wheel drive,6 Speed Automatic,E85,Automatic transmission,2012 Bentley Continental Flying Spur,Bentley,2012,552,479
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2012 Bentley Continental Flying Spur Speed,Bentley,2012,600,553
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Bentley Continental Flying Spur Speed,Bentley,2011,600,553
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Bentley Continental Flying Spur Speed,Bentley,2010,600,553
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Bentley Continental Flying Spur,Bentley,2010,552,479
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo C70 T5,Volvo,2011,227,236
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Volvo C70 T5,Volvo,2010,227,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo C70 T5 AT,Volvo,2010,227,236
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Volvo S40 2.4i,Volvo,2010,168,170
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo S40 R-Design,Volvo,2010,227,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo S40 T5,Volvo,2011,227,236
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Volvo S40 R-Design AWD,Volvo,2010,227,236
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo S60 T5,Volvo,2012,250,266
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo S60 T6 AWD,Volvo,2012,300,325
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo S60 R-Design,Volvo,2012,325,354
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo S60 T6 AWD,Volvo,2011,300,325
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Volvo S80 3.2,Volvo,2011,240,236
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo S80 V8,Volvo,2010,311,325
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Volvo S80 T6 AWD,Volvo,2010,281,295
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo S80 3.2,Volvo,2010,235,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo V50 T5,Volvo,2011,227,236
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Volvo V50 R-Design,Volvo,2010,227,236
Front-wheel drive,5 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Volvo V50 2.4i,Volvo,2010,168,170
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC60 T6 AWD,Volvo,2011,300,325
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC60 3.2,Volvo,2011,240,236
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Volvo XC60 T6 AWD,Volvo,2010,281,295
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo XC60 3.2,Volvo,2010,235,236
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC70 3.2,Volvo,2011,240,236
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC70 T6 AWD,Volvo,2011,300,325
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo XC70 T6 AWD,Volvo,2010,281,295
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo XC70 3.2,Volvo,2010,235,236
Rear-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Toyota 4Runner SR5,Toyota,2011,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Toyota 4Runner SR5 4WD,Toyota,2011,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Toyota 4Runner Trail,Toyota,2011,270,278
Rear-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Toyota 4Runner Limited,Toyota,2011,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Toyota 4Runner  Limited 4WD,Toyota,2011,270,278
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC90 3.2,Volvo,2011,240,236
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo XC90 V8,Volvo,2011,311,325
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo XC90 3.2,Volvo,2010,235,236
All-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo XC90 V8,Volvo,2010,311,325
Front-wheel drive,6 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo V70 3.2,Volvo,2010,235,236
Rear-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner SR5,Toyota,2010,157,178
Rear-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner SR5 V6,Toyota,2010,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner SR5 V6 4WD,Toyota,2010,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner Trail,Toyota,2010,270,278
Rear-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner Limited,Toyota,2010,270,278
Four-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Toyota 4Runner Limited 4WD,Toyota,2010,270,278
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2012 Audi A3 2.0 T,Audi,2012,200,207
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord EX-L V-6 Coup,Honda,2010,271,251
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX Coup AT,Honda,2010,190,162
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord EX-L Coup,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX-L Coup AT,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX-L V-6 Coup AT,Honda,2010,271,251
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord EX Coup,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord LX-S Coup AT,Honda,2010,190,162
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord LX-S Coup,Honda,2010,190,162
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z Roadster,Nissan,2011,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Nissan 370Z Roadster AT,Nissan,2011,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z Touring Roadster,Nissan,2011,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Nissan 370Z Touring Roadster AT,Nissan,2011,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan 370Z Touring Roadster,Nissan,2010,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan 370Z Roadster,Nissan,2010,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Nissan 370Z Roadster AT,Nissan,2010,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Nissan 370Z Touring Roadster AT,Nissan,2010,332,270
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Audi A3 2.0 T,Audi,2011,200,207
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z Coupe,Nissan,2011,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z Touring Coupe,Nissan,2011,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Nissan 370Z Touring Coupe AT,Nissan,2011,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan 370Z Touring Coupe,Nissan,2011,332,270
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Audi A3 2.0 T,Audi,2010,200,207
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Nissan 370Z Touring Coupe AT,Nissan,2010,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan 370Z Coupe,Nissan,2010,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan 370Z Touring Coupe,Nissan,2010,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Nissan 370Z Coupe AT,Nissan,2010,332,270
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2012 Audi A4 Sedan 2.0 T Quattro,Audi,2012,211,258
All-wheel drive,8 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Audi A4 Sedan 2.0 T Quattro AT,Audi,2012,211,258
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Audi A4 Sedan 2.0 T Quattro,Audi,2011,211,258
All-wheel drive,8 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Audi A4 Sedan 2.0 T Quattro AT,Audi,2011,211,258
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Fiesta S Sedan,Ford,2012,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Fiesta SE Sedan,Ford,2012,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Fiesta SEL Sedan,Ford,2012,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Fiesta Sedan S,Ford,2011,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Fiesta Sedan SE,Ford,2011,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Fiesta Sedan SEL,Ford,2011,120,112
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Volvo C30 R-Design AT,Volvo,2011,227,236
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Volvo C30 R-Design,Volvo,2011,227,236
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo C30 R-Design AT,Volvo,2010,227,236
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Volvo C30 R-Design,Volvo,2010,227,236
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Audi A4 Sedan 2.0 T Quattro AT,Audi,2010,211,258
All-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Audi A4 Sedan 2.0 T Quattro,Audi,2010,211,258
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo S40 2.4i AT,Volvo,2010,168,170
All-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Volvo S40 R-Design AT AWD,Volvo,2010,227,236
All-wheel drive,8 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Audi A4 Avant 2.0 T,Audi,2012,211,258
All-wheel drive,8 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Audi A4 Avant 2.0 T,Audi,2011,211,258
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Audi A4 Avant 2.0 T,Audi,2010,211,258
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Honda Accord EX Coup,Honda,2011,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Honda Accord LX-S Coup AT,Honda,2011,190,162
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Honda Accord EX-L V-6 Coup,Honda,2011,271,251
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Honda Accord LX-S Coup,Honda,2011,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Honda Accord EX-L V-6 Coup AT,Honda,2011,271,251
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Honda Accord EX Coup AT,Honda,2011,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2011 Honda Accord EX-L Coup,Honda,2011,190,162
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Fiesta SE Hatchback,Ford,2012,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Fiesta SES Hatchback,Ford,2012,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Fiesta Hatchback SE,Ford,2011,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Fiesta Hatchback SES,Ford,2011,120,112
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord LX Sedan,Honda,2010,177,161
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord LX Sedan AT,Honda,2010,177,161
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord LX-P Sedan,Honda,2010,177,161
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord LX-P Sedan AT,Honda,2010,177,161
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord EX Sedan,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX Sedan AT,Honda,2010,190,162
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Honda Accord EX-L Sedan,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX-L Sedan AT,Honda,2010,190,162
Front-wheel drive,5 Speed Automatic,Gasoline,Automatic transmission,2010 Honda Accord EX V-6 Sedan,Honda,2010,271,254
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Avalon,Toyota,2011,268,248
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Avalon Limited,Toyota,2011,268,248
Rear-wheel drive,7 Speed Automatic,Gasoline,Automatic transmission,2009 Nissan 370Z Coupe AT,Nissan,2009,332,270
Rear-wheel drive,7 Speed Automatic Select Shift,Gasoline,Automatic transmission,2009 Nissan 370Z Touring Coupe AT,Nissan,2009,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Nissan 370Z Touring Coupe,Nissan,2009,332,270
Rear-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2009 Nissan 370Z Coupe,Nissan,2009,332,270
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Toyota Avalon XL,Toyota,2010,268,248
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Toyota Avalon XLS,Toyota,2010,268,248
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Toyota Avalon Limited,Toyota,2010,268,248
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Toyota Camry,Toyota,2011,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry AT,Toyota,2011,169,167
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Toyota Camry LE,Toyota,2011,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry LE AT,Toyota,2011,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry LE V6,Toyota,2011,268,248
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Toyota Camry SE,Toyota,2011,179,171
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry SE AT,Toyota,2011,179,171
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry SE V6,Toyota,2011,268,248
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry XLE,Toyota,2011,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2011 Toyota Camry XLE V6,Toyota,2011,268,248
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Focus S Sedan,Ford,2012,160,146
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2012 Ford Focus SE Sedan,Ford,2012,160,146
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Focus Sedan S,Ford,2011,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Ford Focus Sedan S AT,Ford,2011,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Focus Sedan SE,Ford,2011,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Ford Focus Sedan SE AT,Ford,2011,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2011 Ford Focus Sedan SES,Ford,2011,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Ford Focus Sedan SES AT,Ford,2011,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2011 Ford Focus Sedan SEL,Ford,2011,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Ford Focus Sedan S,Ford,2010,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Ford Focus Sedan S AT,Ford,2010,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Ford Focus Sedan SE,Ford,2010,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Ford Focus Sedan SE AT,Ford,2010,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Ford Focus Sedan SES,Ford,2010,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Ford Focus Sedan SES AT,Ford,2010,140,136
Front-wheel drive,5 Speed Manual,Gasoline,Manual transmission,2010 Ford Focus Sedan SEL,Ford,2010,140,136
Front-wheel drive,4 Speed Automatic,Gasoline,Automatic transmission,2010 Ford Focus Sedan SEL AT,Ford,2010,140,136
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan Altima Coupe 2.5 S,Nissan,2011,175,180
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2011 Nissan Altima Coupe 3.5 SR,Nissan,2011,270,258
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo S80 T6 AWD,Volvo,2012,300,325
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo S80 3.2,Volvo,2012,240,236
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC60 T6 AWD R-Design,Volvo,2012,325,354
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC60 3.2,Volvo,2012,240,236
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC60 T6 AWD,Volvo,2012,300,325
All-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC70 T6 AWD,Volvo,2012,300,325
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC70 3.2,Volvo,2012,240,236
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC90 3.2,Volvo,2012,240,236
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2012 Volvo XC90 3.2 R-Design,Volvo,2012,240,236
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan Altima Coupe 2.5 S,Nissan,2010,175,180
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Nissan Altima Coupe 3.5 SR,Nissan,2010,270,258
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Toyota Camry,Toyota,2010,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Toyota Camry  AT,Toyota,2010,169,167
Front-wheel drive,6 Speed Manual,Gasoline,Manual transmission,2010 Toyota Camry LE,Toyota,2010,169,167
Front-wheel drive,6 Speed Automatic Select Shift,Gasoline,Automatic transmission,2010 Toyota Camry LE AT,Toyota,2010,169,167
